"Gene.Name","EV-R1","EV-R2","EV-R3","KO-R1","KO-R2","KO-R3"
"PROX1-AS1",27,29,13,27,20,23
"PROX1",76,71,65,84,64,56
"PROX1",42,46,52,48,31,57
"PROX1",1427,1442,1418,1233,1112,1091
"PROX1",3,4,5,3,2,4
"PROX1",1,0,0,0,0,2
"PROX1",0,1,1,1,0,1
"SMYD2",179,133,157,103,125,92
"SMYD2",10,6,13,5,9,4
"PTPN14",14,12,10,11,6,6
"PTPN14",9,2,8,4,4,6
"PTPN14",3,3,2,2,3,5
"CENPF",82,82,84,62,77,67
"KCTD3",39,33,31,35,48,56
"KCTD3",17,18,12,20,24,13
"LOC102723833",0,1,2,2,0,0
"LOC102723833",4,0,1,3,3,0
"LOC102723833",0,0,0,2,0,0
"RAP1GAP",8,9,9,7,3,1
"RAP1GAP",4,5,4,1,0,2
"USH2A",0,0,0,0,0,1
"ESRRG",2,4,7,6,2,6
"ESRRG",5,3,9,4,12,9
"RAP1GAP",37,28,34,9,8,9
"GPATCH2",81,64,61,51,55,46
"USP48",16,10,11,6,9,9
"RRP15",12,13,16,26,17,17
"TGFB2-AS1",35,21,24,5,1,6
"TGFB2-AS1",4,9,7,1,0,0
"C1orf143",0,0,0,2,0,0
"C1orf143",0,0,0,0,1,0
"FAAP20",167,159,162,41,64,43
"LYPLAL1",46,40,32,19,35,23
"LYPLAL1",2,5,9,10,3,2
"LYPLAL1",8,8,7,2,2,7
"HSPG2",33,33,29,8,14,9
"LYPLAL1",10,2,8,3,2,2
"HSPG2",41,34,44,14,12,7
"LYPLAL1-AS1",5,6,3,3,0,2
"LYPLAL1-AS1",6,4,5,2,2,0
"FAAP20",3,2,0,2,1,1
"CELA3B",5,6,5,4,0,1
"SLC30A10",131,151,122,122,120,88
"SLC30A10",3,3,0,2,1,1
"SLC30A10",0,2,0,1,1,0
"CELA3A",7,1,1,1,0,0
"EPRS",18,10,19,18,22,16
"EPRS",16,14,13,23,38,23
"EPRS",218,211,202,224,266,217
"IARS2",222,185,206,172,173,150
"LINC00339",16,16,8,12,11,10
"RAB3GAP2",9,9,6,7,13,8
"RAB3GAP2",0,0,0,0,0,1
"CDC42",11,6,13,15,19,21
"C1orf115",31,30,22,39,31,29
"MARC2",0,0,2,0,0,0
"MARC2",12,11,14,12,19,13
"MARC2",7,8,7,15,5,9
"MARC1",16,4,7,11,18,11
"FAAP20",4,3,4,2,3,2
"C1orf140",0,0,0,0,1,0
"DUSP10",8,3,4,3,2,4
"DUSP10",6,3,6,9,4,6
"LINC02257",0,1,0,0,0,0
"HHIPL2",2,0,0,2,4,0
"HHIPL2",42,25,32,42,37,41
"TAF1A-AS1",28,24,25,21,25,23
"MIA3",6,4,5,5,3,11
"BROX",108,115,106,99,97,68
"SKI",1,2,1,0,0,0
"DISP1",11,7,9,12,2,6
"SUSD4",7,2,8,3,3,7
